,x,z,v,alpha,d22,T
797,0.21424474941828547,0.007545813923591972,2.5141393891186357,2.300879431467023,3.223754027277849e-11,3.2756915788298575
798,0.21452197054946062,0.007521343932820647,2.5119450102226786,2.301647544813976,1.747698582537784e-06,3.2937516874723114
799,0.21480600839409641,0.007517853077979465,2.5096969822658077,2.307469181923176,5.174249995605392e-09,3.3027510928869535
800,0.21512969317910843,0.007601090058403509,2.5071317785134637,2.302469181923176,2.468455209473581e-15,3.276042763682949
801,0.21542484951462504,0.007618810980401957,2.5048023106877397,2.3025611823669134,5.29587241927453e-09,3.276491483215801
802,0.21572308292016346,0.007645152271876492,2.502451243710146,2.301290399885751,4.645966966703226e-07,3.2733848133702903
803,0.2160166144310537,0.0076567383458953225,2.500143087136635,2.301290399885751,1.290441042351437e-15,3.2764091484069318
804,0.21631269650210638,0.007675379888325191,2.4978176913407486,2.3008820551699327,1.2916025848692527e-15,3.276530848924095
805,0.21660899957620106,0.0076940676418646515,2.4954943720225673,2.300473662331657,1.2928757087810162e-15,3.2766523581967903
806,0.21690552378582417,0.007712801733149303,2.493173124476255,2.3000652219949687,1.2936088358218232e-15,3.2767736769147415
807,0.21720226926843392,0.007731582302919464,2.490853943968912,2.2996567318691583,1.2950523099044439e-15,3.2768947998086397
808,0.21749923614911565,0.007750409460368849,2.4885368258815213,2.299250711094016,1.255362092505231e-15,3.2770157344356807
809,0.21779644067172677,0.00776931736320934,2.4862216372565404,2.2937054847592195,1.5330029825085322e-12,3.2771231298143437
810,0.21806136171931673,0.007717473833891679,2.4841671133801415,2.298971317016995,1.7212237219095219e-06,3.3055582884554
811,0.21836283187769193,0.007741781697008892,2.481826055107423,2.3026135653381434,4.300928363094927e-09,3.3038291887548317
812,0.2186893145401611,0.007826186445413113,2.4792889292342273,2.2976135653381435,1.3004062377311653e-15,3.2774974878841325
813,0.21898739048175872,0.007845248600378819,2.476982052808767,2.2972047827301636,1.3010939106206729e-15,3.277617438620127
814,0.21928568864432074,0.007864358148342,2.474677210796478,2.296795950513334,1.3021737265627576e-15,3.277737192085714
815,0.21958420916514132,0.00788351522173838,2.4723743985760818,2.2963870685430403,1.3036471303053354e-15,3.2778567482326357
816,0.219882952182272,0.007902719954241983,2.4700736115337585,2.295978136669541,1.3044476795947386e-15,3.277976105842438
817,0.22018191783440322,0.007921972480041974,2.4677748450641777,2.29556915454368,1.3058109519773558e-15,3.2780952647342314
818,0.22048110625965145,0.00794127293189015,2.4654780945800647,2.2951601220715245,1.306382208896093e-15,3.2782142250521744
819,0.22078051759730663,0.007960621443496102,2.463183355498401,2.2947510920702845,1.3062894134860754e-15,3.278332986508273
