,x,z,v,alpha,d22,T,l1_r,l2_r,l3_r,l4_r,l5_r,l6_r,l1_im,l2_im,l3_im,l4_im,l5_im,l6_im
680,0.9510402095006776,0.0836704957820782,-0.4310520857399145,-0.2249026463574,2.7751820290628113e-10,0.8597065192638876,67.74585644139812,1.0000342116587932,0.9999657895121454,0.014761050380269897,-0.9730392865288828,-0.9730392865288828,0.0,0.0,0.0,0.0,0.2306394304348885,-0.2306394304348885
681,0.950786615374073,0.0837285112506832,-0.4302504351885564,-0.2204335206964308,3.8355777226214144e-10,0.8600761262986114,68.52652545473197,1.0000434862240457,0.9999565156671458,0.014592889298964845,-0.9709717332282051,-0.9709717332282051,0.0,0.0,0.0,0.0,0.23919425844285108,-0.23919425844285108
682,0.9505327644832904,0.0837853927142223,-0.4294502653832928,-0.2159746398878117,1.9622099627002683e-10,0.8604425031175056,69.31491367572063,1.000040350765929,0.9999596508625807,0.014426909693382674,-0.9688307802304499,-0.9688307802304499,0.0,0.0,0.0,0.0,0.24772347341003115,-0.24772347341003115
683,0.9502786624891644,0.0838411417252169,-0.4286515626030932,-0.2115280080957563,1.4524325254685247e-11,0.8608056632965334,70.11109070863918,0.9999999993498672,0.9999999993498672,0.014263078635368145,-0.9666167624007791,-0.9666167624007791,0.0,3.6069878385366704e-05,-3.6069878385366704e-05,0.0,0.2562265299415506,-0.2562265299415506
684,0.9500243151494056,0.0838957604619585,-0.427854311459489,-0.2070913055995877,2.6032715547535305e-10,0.8611656201801906,70.91512637796512,1.0000410935744788,0.999958908114466,0.01410136385671167,-0.9643300221893114,-0.9643300221893114,0.0,0.0,0.0,0.0,0.26470286795642745,-0.26470286795642745
685,0.9497697279367268,0.0839492499636015,-0.4270585002291622,-0.2026641269962476,1.4210844194614204e-10,0.8615223876577234,71.72709139993486,1.0000418253967067,0.9999581763527375,0.013941733597345147,-0.9619709102237646,-0.9619709102237646,0.0,0.0,0.0,0.0,0.27315191356363083,-0.27315191356363083
686,0.9495149064258545,0.084001611908202,-0.4262641154706856,-0.1982494399203842,7.421476522876035e-11,0.8618759793937497,72.54705678329496,0.9999999994815281,0.9999999994815281,0.013784156716140795,-0.9595397844649294,-0.9595397844649294,0.0,3.2211081091509274e-05,-3.2211081091509274e-05,0.0,0.28157308470301223,-0.28157308470301223
687,0.9492598562717584,0.0840528485605238,-0.4254711421810547,-0.1938432736633712,4.642560133577957e-11,0.8622264088203182,73.37509380156762,1.0000527569429456,0.9999472458404239,0.01362860267970868,-0.9570370100232761,-0.9570370100232761,0.0,0.0,0.0,0.0,0.28996579357884256,-0.28996579357884256
688,0.9490045827908072,0.0841029606904802,-0.4246795700957869,-0.1894489762731647,2.5258291279151956e-10,0.8625736901085717,74.21127479983537,0.9999999990276911,0.9999999990276911,0.013475041396427065,-0.9544629602336149,-0.9544629602336149,0.0,4.410107110671713e-05,-4.410107110671713e-05,0.0,0.2983294446450643,-0.2983294446450643
689,0.9487490916127478,0.0841519508280526,-0.4238893838223415,-0.185065755745196,1.0689207490900736e-10,0.8629178366485555,75.0556719340201,-0.9518180146681419,-0.9518180146681419,0.013323443441607012,0.9999999991474606,0.9999999991474606,0.0,0.30666344247928157,-0.30666344247928157,0.0,4.130217889121868e-05,-4.130217889121868e-05
690,0.94849338815512,0.0841998206244041,-0.4231005708395393,-0.1806906332844183,3.641225254552692e-10,0.8632588622758974,75.90835818832767,-0.9491025605727013,-0.9491025605727013,0.013173779855919289,1.0000491876358686,0.9999508147836834,0.0,0.31496718799635115,-0.31496718799635115,0.0,0.0,0.0
691,0.9482374776778136,0.0842465710602349,-0.422313120861399,-0.1763280948470698,5.956098901631442e-10,0.8635967812596814,76.76940748470236,-0.9463169926331751,-0.9463169926331751,0.013026022119403525,0.9999999973855548,0.9999999973855548,0.0,0.32324008020948225,-0.32324008020948225,0.0,7.231466684937422e-05,-7.231466684937422e-05
692,0.947981365716452,0.0842922048075402,-0.4215270186641437,-0.1719757436080609,2.1236301377116767e-10,0.8639316068977889,77.63889300330234,-0.9434617117618422,-0.9434617117618422,0.012880142430165544,0.9999999987147504,0.9999999987147504,0.0,0.3314815205099296,-0.3314815205099296,0.0,5.070357429652524e-05,-5.070357429652524e-05
693,0.9477250575673738,0.0843367234369175,-0.4207422525680642,-0.1676323773650799,3.558792715427205e-11,0.8642633531459638,78.51688961916281,-0.9405371257538695,-0.9405371257538695,0.012736113272478969,1.000031419701796,0.9999685812859577,0.0,0.3396909110923244,-0.3396909110923244,0.0,0.0,0.0
694,0.947468558446637,0.0843801282374234,-0.4199588119420584,-0.1633007214216658,3.0513632936306564e-10,0.8645920344130713,79.40347238047033,-0.9375436499268459,-0.9375436499268459,0.012593907671929685,0.9999999989834353,0.9999999989834353,0.0,0.3478676536873846,-0.3478676536873846,0.0,4.509491479870691e-05,-4.509491479870691e-05
695,0.9472118737466036,0.0844224217406393,-0.4191766825636482,-0.1589789929720973,3.6323081573379457e-10,0.8649176641396945,80.2987164283382,-0.9344817049019329,-0.9344817049019329,0.01245349918980418,1.000026174078161,0.9999738266074484,0.0,0.356011156009944,-0.356011156009944,0.0,0.0,0.0
696,0.9469550086355398,0.0844636053583021,-0.4183958538092031,-0.1546668709525431,1.7239445560794568e-10,0.8652402565733129,81.20269783355565,-0.9313517189483567,-0.9313517189483567,0.012314861780207449,1.0000435062431787,0.999956495650075,0.0,0.3641208255675849,-0.3641208255675849,0.0,0.0,0.0
697,0.9466979683243664,0.0845036809628208,-0.4176163138353956,-0.1503652427139548,1.2371159099181476e-10,0.8655598255396758,82.11549301039767,-0.9281541262447013,-0.9281541262447013,0.012177969873024642,1.0000407238267468,0.9999592778322601,0.0,0.3721960745829477,-0.3721960745829477,0.0,0.0,0.0
698,0.9464407580015092,0.0845426505081259,-0.4168380507325598,-0.1460736860022045,1.5666186924182823e-10,0.8658763850803856,83.03717877397125,-0.9248893672240436,-0.9248893672240436,0.012042798355732475,1.000046161187472,0.9999538409438463,0.0,0.38023631914377964,-0.38023631914377964,0.0,0.0,0.0
699,0.946183382806542,0.0845805158572084,-0.4160610530484109,-0.1417911926929154,2.0911272117085767e-10,0.866189949200258,83.96783257923778,-0.9215578884826345,-0.9215578884826345,0.01190932252606579,1.0000451457039563,0.9999548563345559,0.0,0.3882409795158924,-0.3882409795158924,0.0,0.0,0.0
