,x,z,v,alpha,d22,T
2327,0.9829749349287084,0.3398606973412957,-0.182492933613724,1.893059600005178,1.0423114663093369e-13,2.490209981246075
2328,0.9828510901710128,0.3402307418942808,-0.1822327931196616,1.8937541303279708,1.0221418065614929e-13,2.4908446950688994
2329,0.98272698914993,0.3406007005835541,-0.1819726237860761,1.8944467310150348,1.0021542143699626e-13,2.4914784676977826
2330,0.9826026326610224,0.340970573479113,-0.1817124258178171,1.89513734174302,9.82351271818349e-14,2.49211129852707
2331,0.9824780214694746,0.341340360642416,-0.1814521993696396,1.8958260436055097,9.627311566755057e-14,2.4927431941701608
2332,0.9823531563361264,0.3417100621350781,-0.181191944595022,1.8965128473529933,9.432956769939881e-14,2.493374161493796
2333,0.9822280380420704,0.342079678027181,-0.1809316616924168,1.8971976971989293,9.240453337373357e-14,2.494004200722108
2334,0.982102667336662,0.3424492083796935,-0.1806713508074156,1.897880677986872,9.049785073407922e-14,2.4946333203005406
2335,0.981977044997242,0.342818653264678,-0.180411012145074,1.8985617129910897,8.860933726266695e-14,2.4952615187797504
2336,0.9818511717686724,0.3431880127447677,-0.1801506458560783,1.899240889107716,8.673953236904714e-14,2.4958888040971323
2337,0.9817250484150684,0.3435572868907328,-0.1798902521341022,1.899918153223842,8.488838453375368e-14,2.49651517703792
2338,0.981598675664594,0.34392647576264,-0.1796298311117194,1.9005936017024343,8.305561290459976e-14,2.497140647684415
2339,0.9814720542792033,0.3442955794336653,-0.1793693829918625,1.901267142046612,8.124150241737436e-14,2.4977652155628927
2340,0.9813451850056616,0.3446645979733534,-0.1791089079554497,1.901938814401788,7.944581283206711e-14,2.4983888834643566
2341,0.9812180685833292,0.3450335314502514,-0.1788484061759968,1.9026086378475129,7.766870999924782e-14,2.499011655280517
2342,0.9810907057406236,0.3454023799306612,-0.1785878778128709,1.9032766410740456,7.591036828304477e-14,2.499633537066827
2343,0.9809630972038048,0.3457711434816441,-0.1783273230278291,1.9039428289717533,7.417045594523897e-14,2.500254534517405
2344,0.9808352437194652,0.3461398221788112,-0.1780667420275428,1.9046071454321245,7.244963573294204e-14,2.5008746463751144
2345,0.9807071460011384,0.3465084160878249,-0.1778061349625841,1.905269679143788,7.074715684944447e-14,2.5014938799876467
2346,0.9805788047807068,0.3468769252822025,-0.1775455020246226,1.9059303793756792,6.906371256079782e-14,2.502112236327393
2347,0.9804502207649208,0.3472453498281911,-0.1772848433640869,1.906589313368405,6.739910196393727e-14,2.502729722768109
2348,0.9803213946800412,0.3476136898003054,-0.1770241591746622,1.907246427218949,6.575321135166377e-14,2.5033463398430515
2349,0.9801923272386563,0.3479819452697515,-0.176763449630415,1.9079017570867824,6.412608345750308e-14,2.503962091134192
2350,0.9800630191391956,0.348350116304213,-0.1765027148847867,1.9085553404822388,6.251798888508312e-14,2.504576983460804
2351,0.9799334710955576,0.3487182029782344,-0.1762419551267498,1.9092071344548025,6.092891082547549e-14,2.5051910179062635
2352,0.9798036838138336,0.3490862053650546,-0.1759811705366402,1.90985715927052,5.935834337315222e-14,2.5058041972565808
2353,0.979673657986834,0.3494541235346461,-0.1757203612757188,1.910505450081448,5.780768720128964e-14,2.506416526359121
2354,0.9795433943172868,0.3498219575618905,-0.1754595275301435,1.911151979007712,5.6275474600854376e-14,2.50702800696979
