x,z,v,alpha,d22,T
1.1204047368092576,1.1095450181616523e-05,0.1760844895657411,-1.569672971276772,2.7969735029248983e-10,1.0872202048006778
1.1204044447108876,0.000271240967775409,0.17608490059534754,-1.5659594920666275,5.84411861718736e-09,1.087219667464464
1.1204031865644204,0.0005313836069429752,0.17608809992549723,-1.5639523494226215,6.933082645364371e-09,1.0872184515661532
1.1204014060528054,0.000791523195287363,0.17609198117496175,-1.55835727737929,1.3309172136065393e-08,1.087216241830559
1.1203981702639871,0.0010516487521177635,0.17610097343768832,-1.5528767465225763,2.5919418791235776e-08,1.0872136880781684
1.1203935088120471,0.0013117526669506826,0.17611493641457804,-1.5482874039083128,2.209850440946219e-08,1.0872108123973336
1.120387653707407,0.0015718324497006105,0.17613276872262684,-1.546066072511476,2.325049466856582e-09,1.087207427781823
1.120381220799856,0.0018318985823400668,0.17615154635107116,-1.5424743259058282,5.152127916295628e-12,1.0872030787404219
1.1203738539385932,0.002091939934822206,0.1761622420328488,-1.5387207294038563,1.5700018315522e-11,1.0827828669512587
1.1203655109486048,0.0023519518002507846,0.17619721146109343,-1.5349697146445629,2.797448103836908e-11,1.0871923092889784
1.1203561928964234,0.0026119305485152247,0.17622429449942129,-1.5312153736910192,3.98871490783639e-12,1.0871859195494968
1.1203458987707773,0.0028718724778432525,0.17625421458943172,-1.5274995349723484,1.1093850320224699e-11,1.0871788604802768
1.1203346389086581,0.003131774365390576,0.17628692287489647,-1.5236777099824867,9.935434748211775e-10,1.0871711245925697
1.1203223857391549,0.003391631317352073,0.1763118244173901,-1.5201147239202,5.673740688663086e-12,1.0827487820467396
1.1203092068751501,0.003651442966800571,0.17636077679696838,-1.5160587408829325,5.054510572351914e-09,1.0871536342726935
1.1202949742383523,0.003911199021004092,0.17639148000455523,-1.5124635643646551,3.1642806275451084e-11,1.0827306162836319
1.120279807919074,0.004170902233162022,0.17644628087016664,-1.5087194824769057,2.11987496904594e-11,1.0871335161779583
1.120263669358262,0.004430546841233349,0.17648243707699182,-1.5049647844864227,1.2378516098747523e-10,1.082709857076832
1.1202465558417527,0.004690129011650135,0.17654289719696428,-1.5012172739768483,3.092778357647537e-12,1.087110687780322
1.1202284698558116,0.004949645239963776,0.176584704476807,-1.497481244826654,2.38141874002415e-10,1.0826865065846587
1.120209414243201,0.005209092073194843,0.17665080180202603,-1.4937333436610571,3.248847320285457e-11,1.0870851782243605
1.120189386570036,0.005468465680088833,0.17670898021506623,-1.4899904494326854,1.3685103673673386e-11,1.0870714174881717
1.1201683881392708,0.0057277625014171924,0.17675922488629453,-1.4862509341063084,1.9143928313301537e-11,1.082646608127365
1.1201464200769011,0.005986978974430235,0.1768230264704204,-1.4825079534703829,1.461306833984575e-10,1.0826320089620585
1.1201234821714436,0.006246111427316445,0.1768896402438041,-1.4787720042355683,1.8009975792083264e-10,1.082616759792648
1.1200995763078934,0.006505156375797439,0.1769698176675874,-1.4750266356823465,4.115129404583794e-10,1.0870096658258555
1.1200747004144196,0.006764109973126155,0.17703128948323518,-1.4713003072572408,1.4702917269832006e-10,1.0825843092363951
1.120048859546904,0.007022969056821593,0.1771170795194611,-1.4675491759892365,5.295230535181096e-10,1.08697476455664
1.1200220479409662,0.00728172939658144,0.17719492476113569,-1.4638279687627864,1.3451709126898236e-10,1.0869563088532508
1.1199942736220396,0.0075403881734550544,0.1772755513256,-1.4601039525157125,5.363696874440404e-12,1.0869371792129014
1.1199655362484424,0.007798941724976508,0.17735896148444133,-1.456354444557857,6.93831163482973e-10,1.0869173763326947
1.1199358296305248,0.008057385708263958,0.17744518538137233,-1.4526405111869458,1.444346344695814e-12,1.0868969053083484
1.119905163284279,0.00831571757012679,0.17752338873240062,-1.448901446242039,3.734396196652287e-10,1.0824713089397997
1.1198735312350556,0.008573932962982344,0.1776259697149994,-1.4451931414952275,1.2511076262635422e-10,1.0868539437584834
1.119840942047298,0.00883202930252802,0.17772051926667895,-1.4414515225109519,6.503926955512741e-10,1.086831452253189
1.1198073872087215,0.00909000187559292,0.17781786837857988,-1.4377435643469936,1.785263749875037e-11,1.086808291863704
1.1197728761429622,0.009347848267822392,0.1779071628181107,-1.4340233402482512,4.002089533770146e-10,1.0823829007905488
1.119737405968757,0.009605564472954029,0.17802084745711938,-1.430293049559704,8.228798876421939e-10,1.0867599473910747
1.1197009747902662,0.009863146585841066,0.17812650184039586,-1.4265866094060056,1.2602174762336228e-10,1.0867347679964177
1.1196635891515148,0.010120591899763774,0.17822407861745992,-1.42287545938783,2.0809168793685582e-10,1.0823097085555666
1.1196252482422138,0.010377896680752324,0.17834606385445906,-1.4191541662757454,5.355590271812115e-10,1.086682384888964
1.1195859501052703,0.010635057004438488,0.17844914722276567,-1.4154566909161364,1.215423971107905e-12,1.0822576266309387
1.1195457015869346,0.010892070296735515,0.17857664181383556,-1.4117455077475944,6.010484605255009e-10,1.0866273074667687
1.1195044994335386,0.011148932435247899,0.17869604637040687,-1.4080343116335898,7.91623184112497e-10,1.0865987570710947
1.1194623442093683,0.011405639881031514,0.17880733974667862,-1.4043328035152007,4.2915292767552124e-10,1.0821745592041336
1.119419239277982,0.011662189565373144,0.17894308288144117,-1.4006364891074348,1.3903456041605888e-10,1.0865396346591405
1.1193751862393517,0.011918578148256689,0.17907069313383867,-1.3969339119095692,2.5605223138256634e-10,1.0865090601378389
1.1193301841156156,0.012174801848379933,0.179201034886873,-1.3932417894753166,7.926874212922894e-11,1.0864778112899407
1.1192842363821438,0.01243085766540895,0.17932320570536148,-1.389546839284346,3.2533665274164257e-11,1.0820545524956908
1.1192373429430387,0.012686741977187709,0.1794698677799666,-1.3858569207373677,8.04190053342882e-11,1.0864132853899506
1.1191895055410594,0.012942451497185474,0.17960835323396554,-1.382168697527623,7.99350763779515e-11,1.0863800084479571
1.1191407253527972,0.013197982843361863,0.17974954445056227,-1.3784811867346876,1.4723671733782084e-11,1.0863460551022264
1.1190910033140609,0.013453332592743962,0.1798934381048043,-1.3748014777523048,1.2412521237259287e-10,1.0863114253374306
1.1190403420617303,0.01370849766315504,0.1800400227464352,-1.3711167746612152,1.4484854702982378e-10,1.0862761178501592
1.1189887407973298,0.013963474299649144,0.18018930340059058,-1.3674410850097747,9.843949010166604e-11,1.0862401339935523
1.1189362026686391,0.014218259543883015,0.18034126620867852,-1.3637660883227303,4.1193245569308576e-11,1.0862034720763856
1.118882728561907,0.014472849990590668,0.18049590816772246,-1.3600936848016516,1.891600992058135e-11,1.086166132168692
1.1188283197690843,0.014727242323236857,0.18064226405716743,-1.3564226068706349,7.664455177647089e-11,1.0817456656198217
1.1187729773852648,0.014981433188923995,0.18080224147972138,-1.3527561521695928,1.683775112648041e-11,1.0817080060514543
1.1187167034211616,0.01523541944172075,0.18096488065792793,-1.349091883235361,2.2879068078643758e-11,1.081669675715896
1.1186594991638104,0.015489197787105965,0.1811411646637015,-1.3454302182271591,2.7187681299942066e-11,1.0860099872564155
1.1186013660398075,0.015742764968616638,0.18130912174644032,-1.3417705502103003,9.163440324274227e-12,1.085969252834958
1.1185423054656929,0.015996117734993594,0.18147972501498943,-1.3381156794022424,6.889486891276629e-11,1.085927838514964
1.1184823194058797,0.016249252972117375,0.18165296643670056,-1.334462689512026,2.2307656040178527e-11,1.0858857435701814
1.118421409064658,0.016502167396336004,0.18182884165276506,-1.3308150341316867,8.500134106616495e-11,1.0858429678848887
1.1183595764800487,0.01675485793261726,0.181996304760192,-1.3271644384760444,2.478270865573912e-10,1.081425565257964
1.1182968219534872,0.017007321088427473,0.18218846845175693,-1.3235232527079708,1.0139192730097953e-10,1.085755372602599
1.1182331484648618,0.01725955404125456,0.1823722072210012,-1.319883155583224,5.052058232486807e-12,1.0857105521098245
1.1181685573365974,0.017511553568625333,0.18255855377711203,-1.3162431472810612,1.453178050814154e-10,1.085665049030314
1.1181030492690411,0.017763316291701466,0.18274750629528375,-1.3126097412150743,6.067284981676588e-11,1.0856188636804336
1.1180366269684374,0.018014839359486702,0.18293905330333537,-1.308981667732372,9.544358787634691e-11,1.0855719947831648
1.1179692925628046,0.018266119787422663,0.18313318613146945,-1.305365169666037,3.1069232438238007e-10,1.0855244415114023
1.1179010496672148,0.018517155009746336,0.18332988894827099,-1.3017099868907112,2.8370879663079476e-09,1.0854762018695556
1.117831889738372,0.018767939139802577,0.18351807796003844,-1.2981031365912135,3.391241094950489e-12,1.0810621694082712
1.1177618256322042,0.019018472164916037,0.1837310728149741,-1.294486219828142,9.09166370315457e-11,1.0853776773407575
1.117690856005682,0.019268750185838568,0.18393550162353797,-1.2908698455988892,1.3380482456651937e-11,1.0853273850060488
1.117618981569956,0.01951876986733317,0.18414248934657027,-1.2872582772944496,1.811097076618367e-12,1.0852764069705476
1.117546204817836,0.019768528390704188,0.18434084977125778,-1.2836503624087119,2.33380109511166e-11,1.0808640904841635
1.1174725272580022,0.020018022664831894,0.18455291634522675,-1.2800429046690227,1.1675803007476803e-10,1.0808128537618302
1.1173979501394937,0.020267249527430156,0.18477872320561856,-1.2764411171471564,1.2435541184234182e-11,1.0851193511300103
1.1173224760198728,0.020516206216259845,0.1849958695865232,-1.2728430399194428,2.4783681043309e-11,1.0850656237231315
1.117246106625328,0.020764889732445526,0.18521553764632184,-1.2692473321938145,1.471137627812658e-11,1.085011207540301
1.1171688434456715,0.02101329701236087,0.18543772201668943,-1.2656546731513028,4.678689322162868e-12,1.084956102308943
1.1170906883238991,0.021261425109492926,0.18566241563679717,-1.2620662102521503,5.0528359671156023e-11,1.0849003074755688
1.117011643396026,0.021509271180720813,0.18588961004166685,-1.2584815182586333,5.86271720108893e-11,1.084843822235046
1.116931710526079,0.02175683230841985,0.1861080140887285,-1.254899742341091,8.845352165813113e-11,1.0804348548655769
1.116850891288209,0.02200410549021627,0.18635147412794847,-1.2513216828438034,2.0581760611980933e-11,1.0847287784886315
1.116769187898339,0.02225108794248637,0.18658612931236823,-1.2477462719061967,5.962833178356497e-11,1.0846702187776038
1.1166866018820236,0.022497776664471763,0.18682325823584758,-1.244173693730949,5.427379997238273e-11,1.0846109665972257
1.116603135079887,0.022744168767808493,0.18706285396372135,-1.2406072377693804,9.860894044080163e-11,1.0845510213966443
1.116518790150432,0.02299026165376988,0.18729354716559182,-1.2370410002911063,3.4347191626818776e-11,1.0801439904506969
1.1164335680470752,0.023236052151440173,0.18754941055393898,-1.2334815141994755,1.1542237781848293e-10,1.0844290483723011
1.1163474716839192,0.02348153777606402,0.18779635672794223,-1.2299231809236608,3.129047444227721e-11,1.084367019273804
1.1162605022618057,0.02372671545706866,0.18803433467747172,-1.2263681141815599,2.2237816343891863e-11,1.079961058264585
1.116172661768102,0.0239715824072917,0.18829755394597386,-1.2228180866206744,1.2054609462721088e-10,1.0842408737119336
1.1160839526312818,0.024216136010189262,0.1885517877391845,-1.2192718361721688,1.2018804768293592e-10,1.0841767554937252
1.1159943768057528,0.024460373491191675,0.18880843439566072,-1.2157269453273452,1.144925593404992e-11,1.0841119393031808
1.115903935663938,0.024704291869984275,0.18906748942178814,-1.2121866216312551,1.0164635666105259e-11,1.0840464249496247
1.11581263171187,0.024947888594063956,0.1893289427954911,-1.2086502425147596,8.614347821546605e-12,1.0839802113417725
1.1157204669468406,0.025191160934729073,0.18959278700165547,-1.2051172520397495,1.6603599537509028e-11,1.0839132976986448
1.1156274432350126,0.02543410612336916,0.18985901518678575,-1.201587800342837,3.758373469105213e-11,1.08384568349807
1.1155335626337397,0.02567672147397627,0.1901276195787832,-1.1980619424190204,5.533410181800551e-11,1.0837773678866611
1.1154388271781603,0.025919004302715237,0.19039859253252964,-1.1945393234626227,3.981277093613712e-11,1.0837083502034837
1.1153432388420261,0.026160951912004314,0.19067192672283598,-1.1910207988747783,1.1046259627156979e-10,1.08363862963685
1.1152467998007154,0.02640256169441532,0.1909476138516249,-1.1875065993163787,8.347437544260972e-11,1.0835682053845472
1.1151495122916404,0.02664383107959205,0.19122564533220257,-1.1839943289106267,7.335789711351036e-11,1.0834970764689866
