x,z,v,T
0.9325251415662908,0.23888890217874845,0.09592798168447951,0.5984742206837448
0.9323518706902219,0.23781679723203683,0.09677793692391869,0.5968090797287189
0.932170587533355,0.2367973318016772,0.0976252686747055,0.5952471290646256
0.9319822072954217,0.23582639359259125,0.0984694989073749,0.5937810140443104
0.9317875250695107,0.23490032603268038,0.09931023321979428,0.592404144320394
0.9315872459597377,0.23401583105447687,0.10014714205825023,0.5911105154634138
0.9313820058920002,0.23316990045037697,0.10097994746295871,0.5898945858388323
0.9311723520808538,0.23235986340514572,0.10180842673265734,0.5887514167457611
0.9309587703409614,0.2315833004387752,0.10263239769386998,0.5876765001957454
0.9307417017188103,0.23083798950568818,0.10345170937937759,0.5866656543421194
0.9305215301919584,0.23012193458244076,0.10426624426043171,0.5857151090508858
0.9302986237055328,0.22943324475195195,0.10507590078491572,0.5848212363066355
0.9300732794278358,0.2287702825544373,0.10588061186316294,0.5839809153384582
0.9298457824639832,0.22813149472163544,0.10668032155743974,0.583191143745366
0.9296163853855254,0.22751546542698534,0.10747499140139993,0.5824491736582558
0.929385321421408,0.22692087594665789,0.10826459459673494,0.5817524240394342
0.9291528009154193,0.2263465111110824,0.10904911635459694,0.5810985037513134
0.9289190007122649,0.2257912847542333,0.10982855658984804,0.580485281026098
0.928684091144673,0.22525416303309811,0.11060291996405455,0.5799107035878686
0.9284482253021713,0.2247341912385809,0.11137221902005223,0.579372868716658
0.9282115486475924,0.22423046554234363,0.11213647050406268,0.5788699585350585
0.9279741866723541,0.2237421639387074,0.11289569898067967,0.5784003203632954
0.9277362444992446,0.22326854473271474,0.11364993642262355,0.5779624678065155
0.9274978362324561,0.22280886682612455,0.1143992125433351,0.577554885991139
0.9272590548868179,0.22236246793207493,0.11514356414429612,0.5771762286103498
0.9270199906727856,0.22192871455963162,0.11588302906666045,0.5768251961923343
0.9267807133044182,0.22150704671363855,0.11661765143958511,0.5765006509629284
0.9265413021402374,0.22109689802864593,0.11734747222892089,0.576201417954518
0.926301826376326,0.22069774634189948,0.11807253523588145,0.5759264139012493
0.9260623401958409,0.22030912462028324,0.1187928883457898,0.5756746775000662
0.9258229009473099,0.21993057317813713,0.11950857794974674,0.5754452496121424
0.9255835561143719,0.21956167207987048,0.12021965275965307,0.5752372572130737
0.9253443617015249,0.21920199376585875,0.1209261583306392,0.5750497929788918
0.9251053482392948,0.2188511878143013,0.12162814693967347,0.574882134903108
0.9248665659466736,0.21850886669197125,0.12232566435889212,0.5747334525988506
0.9246280403443005,0.21817471605468738,0.12301876268936655,0.5746030937273409
0.9243898111534276,0.2178483971853335,0.12370748910129983,0.5744903317863165
0.9241519000353778,0.21752962621922395,0.12439189505274774,0.5743945733496171
0.9239143430069131,0.21721809384572804,0.1250720270443761,0.5743151487526271
0.9236771629246336,0.21691353229898708,0.12574793441118093,0.5742514883164596
0.923440378428339,0.21661569262737249,0.12641966675535818,0.574203063887641
0.9232040131073619,0.21632432219317407,0.12708727137621367,0.5741693297103084
0.9229680821005418,0.21603919648483946,0.12775079701518874,0.5741498073566627
0.9227326084854659,0.21576007955168713,0.12841028929501674,0.5741439808503942
0.9224976064611351,0.21548676371978853,0.1290657953961305,0.5741514030449213
0.9222630897772868,0.21521904905296965,0.12971736171256099,0.5741716414223988
0.9220290697232465,0.21495674773095116,0.13036503441506603,0.5742042903004841
0.9217955573879226,0.21469967842940518,0.1310088588339932,0.5742489560799261
0.9215625678985812,0.2144476563189825,0.13164887831853866,0.5743052302423192
0.9213301061242233,0.2142005257934934,0.13228513814970078,0.5743727787389417
0.9210981844754061,0.2139581191294978,0.13291768069196144,0.5744512297902569
0.920866809772636,0.2137202864662515,0.1335465489857388,0.5745402558953105
0.920635988498308,0.2134868834367295,0.13417178533456925,0.5746395404124165
0.920405727305238,0.21325776985923756,0.13479343116632683,0.5747487741854637
0.9201760307327874,0.21303281462707077,0.13541152768335019,0.5748676692866337
0.9199469051840298,0.21281188663555306,0.13602611478573792,0.5749959341075663
0.919718350263468,0.21259487379737907,0.13663723344459336,0.575133326547938
0.91949037747605,0.21238164157042674,0.13724492062473248,0.5752795383482175
0.919262984647166,0.21217208919108108,0.13784921626863295,0.5754343525729253
0.9190361728721502,0.21196611205297555,0.1384501586908805,0.5755975386823334
0.918809949746999,0.21176359480225276,0.13904778371570561,0.575768832797232
0.9185843147057494,0.21156444302205155,0.13964212867714348,0.5759480273159606
0.9183592707928021,0.2113685575253981,0.14023322924317502,0.5761348984777895
0.918134815921085,0.21117585302349182,0.1408211217954489,0.5763292595604517
0.917910949893959,0.21098624288333467,0.1414058415491958,0.576530917745403
0.917687678852288,0.21079962986808026,0.14198742131140094,0.5767396472435449
0.9174649992283179,0.21061593979352478,0.14256589593238103,0.576955286237428
0.9172429133026221,0.21043508868503744,0.1431412980171391,0.5771776424929747
0.9170214161860402,0.2102570098059433,0.14371366156059862,0.5774065717475824
0.9168005142331407,0.21008161548111062,0.1442830168261574,0.5776418667628934
0.9165802003572842,0.20990884792861417,0.1448493972369142,0.5778834054681216
0.9163604751186325,0.20973863569983728,0.14541283351707754,0.5781310241728376
0.916141340708022,0.2095709061554436,0.14597335536807868,0.5783845536870337
0.915922791787022,0.20940560385126045,0.14653099406096137,0.5786438737491839
0.9157048299159,0.20924266129984118,0.1470857783839913,0.5789088268795504
0.9154874540934421,0.20908201802284898,0.14763773732532143,0.5791792746433824
0.9152706593384752,0.20892362315580532,0.14818690049835487,0.5794551057346963
0.9150544450830116,0.20876741872194102,0.14873329575873337,0.5797361862063761
