Xkm,Zkm,v,alpha,d22,T
0.8547662433242794,0.00041097754981658905,-0.13696712451952064,-1.5779687947416727,1.3626325021838067e-09,0.8731014032997798
0.8547681093288372,0.0006711165389600664,-0.1369753559505497,-1.5814422508372818,1.6986593802519246e-09,0.8731022068877872
0.8547708786748778,0.0009312474797727798,-0.1369875875176645,-1.5848922012996915,1.906304242495892e-09,0.8731034072913119
0.8547745454415038,0.0011913673184397113,-0.1370037779853333,-1.5883412584654424,2.034433963615732e-09,0.8731049948272599
0.8547791093527213,0.0014514729630535847,-0.13702392515310746,-1.591799605452732,2.1116950548470622e-09,0.8731069692368884
0.8547845729777909,0.001711561264302795,-0.13704804645999608,-1.595252491553348,2.1556241107064056e-09,0.8731093350358976
0.8547909346774268,0.0019716291485625376,-0.13707613011994216,-1.5987029918568003,2.1800115098534886e-09,0.8731120898124057
0.8547981936648473,0.002231673534672352,-0.1371081701825785,-1.6021542429188849,2.1911253532848358e-09,0.8731152326203394
0.8548063498615996,0.002491691326563859,-0.13714416553434255,-1.6056052165033596,2.1926713952362537e-09,0.8731187637431354
0.8548154034153767,0.0027516794201558744,-0.13718411655811663,-1.60905165015179,2.1896224743616164e-09,0.8731226838884185
0.854825352945325,0.003011634767281889,-0.1372280129789369,-1.6125008356189627,2.178932759566427e-09,0.873126991278191
0.8548361988781553,0.0032715542574834515,-0.1372758569734885,-1.61594519817993,2.1644592626166554e-09,0.8731316871865824
0.8548479400310444,0.0035314348473212374,-0.1373276395002876,-1.6193920531965564,2.1455605097217383e-09,0.8731367702624035
0.8548605769313825,0.0037912734210462425,-0.13738336329512643,-1.6228352903319785,2.1219223573814558e-09,0.8731422420483321
0.854874108440855,0.004051066942707187,-0.1374430194874051,-1.6262740710595565,2.0953911050973372e-09,0.8731481013647776
0.8548885332410032,0.004310812396538976,-0.1375065978913592,-1.6297154142608188,2.0639114714611164e-09,0.8731543467810952
0.8549038519205517,0.004570506666214861,-0.13757410146302515,-1.6331523440379523,2.0337992330903437e-09,0.8731609800868666
0.8549200628817557,0.004830146764008801,-0.13764551794718316,-1.6365867249724708,1.999488284935446e-09,0.8731679994820589
0.854937165461226,0.005089729655242138,-0.13772084149365027,-1.6400213902523306,1.970856768913001e-09,0.8731754047673559
0.8549551597756102,0.005349252255983277,-0.137800071587644,-1.6434521405006932,1.941621600861684e-09,0.8731831970937993
0.854974044339591,0.005608711595550874,-0.13788319655377715,-1.6468816069021313,1.9164875264288316e-09,0.8731913749829033
0.8549938184122744,0.005868104659635309,-0.13797020980712224,-1.6503068535650762,1.8953212057384985e-09,0.8731999382475953
0.8550144807929188,0.006127428475879996,-0.13806110151357687,-1.6537325026130167,1.8794562968088502e-09,0.8732088859739262
0.8550360314624609,0.006386679983663238,-0.13815586995735596,-1.6571513604414243,1.8699839495729157e-09,0.8732182192728227
0.8550584683483619,0.0066458562977752145,-0.13825449913941143,-1.6605698520629286,1.8657165783238758e-09,0.8732279358634659
0.8550817911862303,0.006904954389005847,-0.13835698551839967,-1.6639853363749335,1.8679911743938704e-09,0.8732380365287081
0.8551059989245395,0.007163971301680597,-0.13846332004032885,-1.6673985993375888,1.1784936362524097e-09,0.8732485210619452
0.8551310906129655,0.00742290407831874,-0.13857349428763574,-1.6708079684712325,1.1999579516263176e-09,0.8732593886235902
0.8551570649512803,0.0076817498034035935,-0.13868749736133365,-1.6742142911221038,1.2177009786885e-09,0.8732706386790908
0.8551839208492694,0.007940505549984824,-0.13880531975526383,-1.6776188513059862,1.236191908311822e-09,0.8732822708001226
0.8552116574467806,0.008199168374534646,-0.13892695349580764,-1.681017067967966,1.2539410809325255e-09,0.8732942849887149
0.8552402728747714,0.008457735450796328,-0.1390523835662227,-1.6844148008060287,1.270571870948675e-09,0.8733066795687566
0.855269766677741,0.008716203807141923,-0.13918160467650903,-1.6878074524263635,1.285626186615238e-09,0.8733194553039264
0.8553001372949687,0.008974570603102259,-0.13931460382790012,-1.6911966301509491,1.3022363462251335e-09,0.8733326111297702
